	-1
make	6.0
my	6.16
life	7.32
very	6.12
difficult	3.18
or	4.98
he	5.42
could	5.52
help	6.08
with	5.72
the	4.98
project	5.74
after	5.08
all	6.22
he	5.42
d	4.72
be	5.68
willing	6.4
to	4.98
cooperate	-1
if	4.66
he	5.42
could	5.52
read	6.52
the	4.98
book	7.24
before	5.1
it	5.02
go	5.54
to	4.98
publication	5.76
and	5.22
could	5.52
add	5.9
footnote	-1
throughout	5.52
it	5.02
he	5.42
would	5.38
not	3.86
meddle	-1
with	5.72
my	6.16
text	5.38
but	4.24
he	5.42
want	5.7
the	4.98
chance	6.44
to	4.98
set	5.58
the	4.98
record	5.78
straight	6.06
in	5.5
spot	5.26
that	4.94
he	5.42
deem	-1
factually	-1
inaccurate	-1
i	5.92
understood	6.58
where	5.02
this	5.06
be	5.68
come	5.82
from	5.18
musk	-1
want	5.7
a	5.24
measure	5.32
of	4.94
control	5.38
over	4.82
his	5.56
life	7.32
s	5.04
story	6.48
he	5.42
s	5.04
also	5.42
wire	5.12
like	7.22
a	5.24
scientist	6.18
and	5.22
suffers	-1
mental	4.8
anguish	-1
at	4.9
the	4.98
sight	6.18
of	4.94
a	5.24
factual	-1
error	2.6
a	5.24
mistake	2.78
on	5.56
a	5.24
print	5.26
page	5.62
would	5.38
gnaw	-1
at	4.9
his	5.56
soul	6.34
forever	6.46
while	5.12
i	5.92
could	5.52
understand	6.56
his	5.56
perspective	6.04
i	5.92
could	5.52
not	3.86
let	5.38
him	5.54
read	6.52
the	4.98
book	7.24
for	5.22
professional	6.44
personal	6.06
and	5.22
practical	6.24
reason	5.54
musk	-1
have	5.82
his	5.56
version	5.28
of	4.94
the	4.98
truth	7.42
and	5.22
it	5.02
s	5.04
not	3.86
always	6.48
the	4.98
version	5.28
of	4.94
the	4.98
truth	7.42
that	4.94
the	4.98
rest	7.18
of	4.94
the	4.98
world	6.52
share	6.78
he	5.42
s	5.04
prone	-1
to	4.98
verbose	-1
answer	6.24
to	4.98
even	5.58
the	4.98
simplest	-1
of	4.94
question	4.98
as	5.22
well	6.68
and	5.22
the	4.98
thought	6.38
of	4.94
thirty	5.79
page	5.62
footnote	-1
seem	5.24
all	6.22
too	5.22
real	6.78
still	5.14
we	6.38
agree	6.7
to	4.98
have	5.82
dinner	7.4
chat	6.42
all	6.22
this	5.06
out	4.62
and	5.22
see	6.06
where	5.02
it	5.02
left	4.64
us	6.26
our	6.08
conversation	6.24
begin	6.28
with	5.72
a	5.24
discussion	5.7
of	4.94
public	5.18
relation	6.36
people	6.16
musk	-1
burn	2.92
through	5.62
pr	5.02
staffer	-1
notoriously	-1
fast	6.44
and	5.22
tesla	-1
be	5.68
in	5.5
the	4.98
process	5.46
of	4.94
hunt	4.32
for	5.22
a	5.24
new	6.82
communication	6.52
chief	6.18
who	5.06
be	5.68
the	4.98
best	7.18
pr	5.02
person	5.54
in	5.5
the	4.98
world	6.52
he	5.42
ask	5.2
in	5.5
a	5.24
very	6.12
muskian	-1
fashion	6.36
then	5.34
we	6.38
talk	6.06
about	5.16
mutual	6.14
acquaintance	-1
howard	4.98
hughes	5.06
and	5.22
the	4.98
tesla	-1
factory	5.08
when	4.96
the	4.98
waiter	-1
stop	3.9
by	4.98
to	4.98
take	5.18
our	6.08
order	5.22
musk	-1
ask	5.2
for	5.22
suggestion	5.84
that	4.94
would	5.38
work	5.24
with	5.72
his	5.56
low	3.66
carb	-1
diet	4.62
he	5.42
settle	5.08
on	5.56
chunk	-1
of	4.94
fry	5.62
lobster	-1
soak	-1
in	5.5
black	4.88
squid	-1
ink	5.56
the	4.98
negotiation	-1
hadn	4.52
t	4.84
begin	6.28
and	5.22
musk	-1
be	5.68
already	5.28
dish	6.12
he	5.42
open	6.1
up	6.14
about	5.16
the	4.98
major	5.76
fear	2.32
keep	5.86
him	5.54
up	6.14
at	4.9
night	6.22
namely	5.24
that	4.94
google	7.2
s	5.04
cofounder	-1
and	5.22
ceo	5.1
larry	5.14
page	5.62
might	5.08
well	6.68
have	5.82
be	5.68
building	5.94
a	5.24
fleet	5.04
of	4.94
artificial	3.9
intelligence	7.3
enhance	-1
robot	6.12
capable	6.74
of	4.94
destroy	2.52
mankind	6.74
i	5.92
m	5.06
really	5.84
worried	2.42
about	5.16
this	5.06
musk	-1
say	5.54
it	5.02
didn	4.8
t	4.84
make	6.0
musk	-1
feel	5.9
any	5.22
well	6.68
that	4.94
he	5.42
and	5.22
page	5.62
be	5.68
very	6.12
close	4.94
friend	7.66
and	5.22
that	4.94
he	5.42
felt	5.48
page	5.62
be	5.68
fundamentally	-1
a	5.24
well	6.68
intentioned	-1
person	5.54
and	5.22
not	3.86
dr	5.1
evil	1.9
in	5.5
fact	5.9
that	4.94
be	5.68
sort	5.28
of	4.94
the	4.98
problem	2.98
page	5.62
s	5.04
nice	7.38
guy	5.92
nature	7.24
left	4.64
him	5.54
assume	4.72
that	4.94
the	4.98
machine	5.38
would	5.38
forever	6.46
do	5.76
our	6.08
bidding	-1
i	5.92
m	5.06
not	3.86
as	5.22
optimistic	7.5
musk	-1
say	5.54
he	5.42
could	5.52
produce	6.26
something	5.0
evil	1.9
by	4.98
accident	2.32
as	5.22
the	4.98
food	7.44
arrive	6.32
musk	-1
consume	5.31
it	5.02
that	4.94
be	5.68
he	5.42
didn	4.8
t	4.84
eat	7.04
it	5.02
as	5.22
much	5.74
as	5.22
he	5.42
make	6.0
it	5.02
disappear	3.65
rapidly	5.58
with	5.72
a	5.24
few	4.5
gargantuan	-1
bite	3.98
desperate	3.12
to	4.98
keep	5.86
musk	-1
happy	8.3
and	5.22
chat	6.42
i	5.92
hand	5.9
him	5.54
a	5.24
big	6.22
chunk	-1
of	4.94
steak	6.62
from	5.18
my	6.16
plate	5.72
the	4.98
plan	6.14
work	5.24
for	5.22
all	6.22
of	4.94
ninety	-1
second	5.38
meat	6.2
hunk	-1
go	5.54
it	5.02
take	5.18
awhile	4.84
to	4.98
get	5.92
musk	-1
off	4.02
the	4.98
artificial	3.9
intelligence	7.3
doom	3.12
and	5.22
gloom	3.56
talk	6.06
and	5.22
to	4.98
the	4.98
subject	5.44
at	4.9
hand	5.9
then	5.34
as	5.22
we	6.38
drift	4.76
toward	6.12
the	4.98
book	7.24
musk	-1
start	6.1
to	4.98
feel	5.9
me	6.58
out	4.62
probe	-1
exactly	6.0
why	4.98
it	5.02
be	5.68
that	4.94
i	5.92
want	5.7
to	4.98
write	5.8
about	5.16
him	5.54
and	5.22
calculate	-1
my	6.16
intention	5.94
when	4.96
the	4.98
moment	5.68
present	6.96
itself	5.2
i	5.92
move	5.72
in	5.5
and	5.22
seize	-1
the	4.98
conversation	6.24
some	5.02
adrenaline	-1
release	6.1
and	5.22
mixed	5.48
with	5.72
the	4.98
gin	5.9
and	5.22
i	5.92
launch	6.4
into	5.04
what	4.8
be	5.68
meant	5.44
to	4.98
be	5.68
a	5.24
forty	4.99
five	5.24
minute	5.5
sermon	-1
about	5.16
all	6.22
the	4.98
reason	5.54
musk	-1
should	5.24
let	5.38
me	6.58
burrow	-1
deep	5.74
into	5.04
his	5.56
life	7.32
and	5.22
do	5.76
so	5.08
while	5.12
get	5.92
exactly	6.0
none	3.84
of	4.94
the	4.98
control	5.38
he	5.42
want	5.7
in	5.5
return	5.2
the	4.98
speech	5.32
revolve	-1
around	5.62
the	4.98
inherent	5.94
limitation	-1
of	4.94
footnote	-1
musk	-1
come	5.82
off	4.02
like	7.22
a	5.24
control	5.38
freak	4.64
and	5.22
my	6.16
journalistic	-1
integrity	6.74
be	5.68
compromise	5.42
to	4.98
my	6.16
great	7.88
surprise	7.42
musk	-1
cut	3.42
me	6.58
off	4.02
after	5.08
a	5.24
couple	7.3
of	4.94
minute	5.5
and	5.22
simply	6.42
say	5.54
okay	6.56
one	5.4
thing	5.58
that	4.94
musk	-1
hold	5.7
in	5.5
the	4.98
high	6.64
regard	5.66
be	5.68
resolve	6.32
and	5.22
he	5.42
respect	7.34
people	6.16
who	5.06
continue	5.76
on	5.56
after	5.08
be	5.68
told	5.08
no	3.48
dozen	5.46
of	4.94
other	5.04
journalist	5.54
have	5.82
ask	5.2
him	5.54
to	4.98
help	6.08
with	5.72
a	5.24
book	7.24
before	5.1
but	4.24
i	5.92
d	4.72
be	5.68
the	4.98
only	4.92
annoy	3.1
asshole	2.4
who	5.06
continued	5.2
on	5.56
after	5.08
musk	-1
s	5.04
initial	5.42
rejection	2.02
and	5.22
he	5.42
seem	5.24
to	4.98
like	7.22
that	4.94
the	4.98
dinner	7.4
wound	2.96
down	3.66
with	5.72
pleasant	7.48
conversation	6.24
and	5.22
musk	-1
lay	5.58
waste	2.7
to	4.98
the	4.98
low	3.66
carb	-1
diet	4.62
a	5.24
waiter	-1
show	6.24
up	6.14
with	5.72
a	5.24
giant	5.34
yellow	5.8
cotton	6.22
candy	7.52
desert	4.4
sculpture	6.66
and	5.22
musk	-1
dug	4.96
into	5.04
it	5.02
rip	4.0
off	4.02
handful	5.64
of	4.94
the	4.98
sugary	-1
fluff	-1
it	5.02
be	5.68
settle	5.08
musk	-1
grant	6.34
me	6.58
access	5.88
to	4.98
the	4.98
executive	5.58
at	4.9
his	5.56
company	5.44
his	5.56
friend	7.66
and	5.22
his	5.56
family	7.72
he	5.42
would	5.38
meet	6.38
me	6.58
for	5.22
dinner	7.4
once	4.94
a	5.24
month	5.18
for	5.22
as	5.22
long	4.74
as	5.22
it	5.02
take	5.18
for	5.22
the	4.98
first	6.82
time	5.74
musk	-1
would	5.38
let	5.38
a	5.24
reporter	5.16
see	6.06
the	4.98
inner	5.42
working	5.56
of	4.94
his	5.56
world	6.52
two	5.4
and	5.22
a	5.24
half	4.6
hour	5.32
after	5.08
we	6.38
start	6.1
musk	-1
put	5.04
his	5.56
hand	5.9
on	5.56
the	4.98
table	5.32
make	6.0
a	5.24
move	5.72
to	4.98
get	5.92
up	6.14
and	5.22
then	5.34
pause	5.1
lock	4.58
eye	6.14
with	5.72
me	6.58
and	5.22
bust	4.56
out	4.62
that	4.94
incredible	7.42
question	4.98
do	5.76
you	6.24
think	6.2
i	5.92
m	5.06
insane	3.04
the	4.98
oddity	-1
of	4.94
the	4.98
moment	5.68
left	4.64
me	6.58
speechless	-1
for	5.22
a	5.24
beat	4.2
while	5.12
my	6.16
every	5.64
synapse	-1
fire	3.8
try	6.02
to	4.98
figure	5.5
out	4.62
if	4.66
this	5.06
be	5.68
some	5.02
sort	5.28
of	4.94
riddle	-1
and	5.22
if	4.66
so	5.08
how	4.68
it	5.02
should	5.24
be	5.68
answer	6.24
artfully	-1
it	5.02
be	5.68
only	4.92
after	5.08
i	5.92
d	4.72
spent	4.76
lot	5.78
of	4.94
time	5.74
with	5.72
musk	-1
that	4.94
i	5.92
realize	5.84
the	4.98
question	4.98
be	5.68
more	6.24
for	5.22
him	5.54
than	4.74
me	6.58
nothing	3.9
i	5.92
say	5.54
would	5.38
have	5.82
matter	5.4
musk	-1
be	5.68
stop	3.9
one	5.4
last	3.74
time	5.74
and	5.22
wonder	7.08
aloud	-1
if	4.66
i	5.92
could	5.52
be	5.68
trust	7.22
and	5.22
then	5.34
look	5.54
into	5.04
my	6.16
eye	6.14
to	4.98
make	6.0
his	5.56
judgment	4.74
a	5.24
split	4.26
second	5.38
later	4.6
we	6.38
shook	4.34
hand	5.9
and	5.22
musk	-1
drove	5.26
off	4.02
in	5.5
a	5.24
red	5.56
tesla	-1
model	5.8
s	5.04
sedan	-1
any	5.22
study	6.12
of	4.94
elon	-1
musk	-1
must	4.82
begin	6.28
at	4.9
the	4.98
headquarters	5.4
of	4.94
spacex	-1
in	5.5
hawthorne	-1
california	6.08
a	5.24
suburb	-1
of	4.94
los	4.7
angeles	5.84
locate	-1
a	5.24
few	4.5
mile	5.04
from	5.18
los	4.7
angeles	5.84
international	6.56
airport	5.88
it	5.02
s	5.04
there	5.1
that	4.94
visitor	-1
will	6.02
find	6.0
two	5.4
giant	5.34
poster	5.84
of	4.94
mar	4.84
hang	3.86
side	5.12
by	4.98
side	5.12
on	5.56
the	4.98
wall	4.98
lead	6.28
up	6.14
to	4.98
musk	-1
s	5.04
cubicle	-1
the	4.98
poster	5.84
to	4.98
the	4.98
left	4.64
depicts	-1
mar	4.84
as	5.22
it	5.02
be	5.68
today	6.22
a	5.24
cold	4.22
barren	-1
red	5.56
orb	-1
the	4.98
poster	5.84
on	5.56
the	4.98
right	6.54
show	6.24
a	5.24
mar	4.84
with	5.72
a	5.24
humongous	-1
green	6.78
landmass	-1
surround	5.44
by	4.98
ocean	6.96
the	4.98
planet	6.52
have	5.82
be	5.68
heat	4.16
up	6.14
and	5.22
transform	-1
to	4.98
suit	5.3
human	6.26
musk	-1
fully	6.18
intend	-1
to	4.98
try	6.02
and	5.22
make	6.0
this	5.06
happen	5.28
turn	5.2
human	6.26
into	5.04
space	5.96
colonizer	-1
be	5.68
his	5.56
state	5.28
life	7.32
s	5.04
purpose	6.04
i	5.92
would	5.38
like	7.22
to	4.98
die	1.74
think	6.2
that	4.94
humanity	7.02
have	5.82
a	5.24
bright	7.62
future	6.76
he	5.42
say	5.54
if	4.66
we	6.38
can	5.62
solve	6.58
sustainable	-1
energy	7.22
and	5.22
be	5.68
well	6.68
on	5.56
our	6.08
way	5.24
to	4.98
become	5.7
a	5.24
multiplanetary	-1
specie	-1
with	5.72
a	5.24
self	6.24
sustain	-1
civilization	6.72
on	5.56
another	5.2
planet	6.52
to	4.98
cope	5.44
with	5.72
a	5.24
bad	2.64
case	5.02
scenario	-1
happen	5.28
and	5.22
extinguish	-1
human	6.26
consciousness	6.4
then	5.34
and	5.22
here	5.48
he	5.42
pause	5.1
for	5.22
a	5.24
moment	5.68
i	5.92
think	6.2
that	4.94
would	5.38
be	5.68
really	5.84
good	7.2
if	4.66
some	5.02
of	4.94
the	4.98
thing	5.58
that	4.94
musk	-1
say	5.54
and	5.22
do	5.76
sound	5.86
absurd	-1
that	4.94
s	5.04
because	5.0
on	5.56
one	5.4
level	5.6
they	5.62
very	6.12
much	5.74
be	5.68
on	5.56
this	5.06
occasion	6.26
for	5.22
example	5.58
musk	-1
s	5.04
assistant	5.62
have	5.82
just	5.76
hand	5.9
him	5.54
some	5.02
cooky	-1
and	5.22
cream	6.8
ice	5.8
cream	6.8
with	5.72
sprinkle	-1
on	5.56
top	6.76
and	5.22
he	5.42
then	5.34
talk	6.06
earnestly	-1
about	5.16
save	6.54
humanity	7.02
while	5.12
a	5.24
blotch	-1
of	4.94
the	4.98
dessert	7.28
hung	4.08
from	5.18
his	5.56
low	3.66
lip	5.9
musk	-1
s	5.04
ready	6.58
willingness	-1
to	4.98
tackle	4.94
impossible	2.9
thing	5.58
have	5.82
turn	5.2
him	5.54
into	5.04
a	5.24
deity	-1
in	5.5
silicon	-1
valley	6.26
where	5.02
fellow	5.5
ceo	5.1
like	7.22
page	5.62
speak	5.9
of	4.94
him	5.54
in	5.5
reverential	-1
awe	5.94
and	5.22
budding	-1
entrepreneur	-1
strive	-1
to	4.98
be	5.68
like	7.22
elon	-1
just	5.76
as	5.22
they	5.62
have	5.82
be	5.68
strive	-1
in	5.5
year	5.38
past	4.62
to	4.98
mimic	-1
steve	5.38
job	5.96
silicon	-1
valley	6.26
though	4.78
operates	5.48
within	5.34
a	5.24
warp	-1
version	5.28
of	4.94
reality	5.94
and	5.22
outside	5.8
the	4.98
confines	-1
of	4.94
its	4.96
share	6.78
fantasy	7.44
musk	-1
often	5.68
come	5.82
off	4.02
as	5.22
a	5.24
much	5.74
more	6.24
polarize	-1
figure	5.5
he	5.42
s	5.04
the	4.98
guy	5.92
with	5.72
the	4.98
electric	5.66
car	6.72
solar	6.54
panel	5.54
and	5.22
rocket	6.38
peddle	-1
false	3.18
hope	7.38
forget	3.22
steve	5.38
job	5.96
musk	-1
be	5.68
a	5.24
sci	-1
fi	4.9
version	5.28
of	4.94
p	5.06
t	4.84
barnum	-1
who	5.06
have	5.82
gotten	5.42
extraordinarily	-1
rich	7.98
by	4.98
prey	4.18
on	5.56
people	6.16
s	5.04
fear	2.32
and	5.22
self	6.24
hatred	2.22
buy	6.28
a	5.24
tesla	-1
forget	3.22
about	5.16
the	4.98
mess	3.94
you	6.24
ve	4.92
make	6.0
of	4.94
the	4.98
planet	6.52
for	5.22
a	5.24
while	5.12
i	5.92
d	4.72
long	4.74
be	5.68
a	5.24
subscriber	-1
to	4.98
this	5.06
latter	5.12
camp	6.26
musk	-1
have	5.82
struck	3.5
me	6.58
as	5.22
a	5.24
well	6.68
intentioned	-1
dreamer	6.8
a	5.24
card	5.72
carry	5.2
member	5.94
of	4.94
silicon	-1
valley	6.26
s	5.04
techno	-1
utopian	-1
club	5.86
this	5.06
group	5.92
tends	5.64
to	4.98
be	5.68
a	5.24
mix	5.8
of	4.94
ayn	-1
rand	-1
devotee	-1
and	5.22
engineer	6.3
absolutist	-1
who	5.06
see	6.06
their	5.16
hyperlogical	-1
worldviews	-1
as	5.22
the	4.98
answer	6.24
for	5.22
everyone	6.12
if	4.66
we	6.38
d	4.72
just	5.76
get	5.92
out	4.62
of	4.94
their	5.16
way	5.24
they	5.62
d	4.72
fix	6.28
all	6.22
our	6.08
problem	2.98
one	5.4
day	6.24
soon	6.34
enough	5.46
we	6.38
ll	4.82
be	5.68
able	6.56
to	4.98
download	6.02
our	6.08
brain	6.52
to	4.98
a	5.24
computer	7.24
relax	7.7
and	5.22
let	5.38
their	5.16
algorithm	-1
take	5.18
care	6.64
of	4.94
everything	5.96
much	5.74
of	4.94
their	5.16
ambition	-1
prof	-1
inspire	7.12
and	5.22
their	5.16
work	5.24
helpful	7.24
but	4.24
the	4.98
techno	-1
utopian	-1
do	5.76
get	5.92
tiresome	-1
with	5.72
their	5.16
platitude	-1
and	5.22
their	5.16
ability	6.68
to	4.98
prattle	-1
on	5.56
for	5.22
hour	5.32
without	3.54
say	5.54
much	5.74
of	4.94
substance	5.56
more	6.24
disconcert	-1
be	5.68
their	5.16
underlie	-1
message	6.08
that	4.94
human	6.26
be	5.68
flaw	-1
and	5.22
our	6.08
humanity	7.02
be	5.68
an	4.84
annoy	3.1
burden	2.82
that	4.94
need	4.84
to	4.98
be	5.68
dealt	5.1
with	5.72
in	5.5
due	4.22
course	5.42
when	4.96
i	5.92
d	4.72
caught	3.54
musk	-1
at	4.9
silicon	-1
valley	6.26
event	6.12
his	5.56
highfalutin	-1
talk	6.06
often	5.68
sound	5.86
straight	6.06
out	4.62
of	4.94
the	4.98
techno	-1
utopian	-1
playbook	-1
and	5.22
most	6.22
annoyingly	-1
his	5.56
world	6.52
save	6.54
company	5.44
didn	4.8
t	4.84
even	5.58
seem	5.24
to	4.98
be	5.68
do	5.76
all	6.22
that	4.94
well	6.68
yet	4.7
in	5.5
the	4.98
early	5.66
part	4.98
of	4.94
the	4.98
cynic	-1
like	7.22
me	6.58
have	5.82
to	4.98
take	5.18
notice	5.16
of	4.94
what	4.8
musk	-1
be	5.68
actually	5.3
accomplish	-1
his	5.56
once	4.94
beleaguer	-1
company	5.44
be	5.68
succeed	7.76
at	4.9
unprecedented	-1
thing	5.58
spacex	-1
flew	5.88
a	5.24
supply	5.76
capsule	-1
to	4.98
the	4.98
international	6.56
space	5.96
station	5.16
and	5.22
brought	5.9
it	5.02
safely	6.96
back	5.18
to	4.98
earth	6.44
tesla	-1
motor	5.48
deliver	6.24
the	4.98
model	5.8
s	5.04
a	5.24
beautiful	7.92
all	6.22
electric	5.66
sedan	-1
that	4.94
take	5.18
the	4.98
automotive	-1
industry	5.38
s	5.04
breath	6.38
away	4.22
and	5.22
slap	2.48
detroit	4.4
sober	5.78
these	5.1
two	5.4
feat	5.7
elevate	-1
musk	-1
to	4.98
the	4.98
rarest	-1
height	5.65
among	5.66
business	5.94
titan	-1
only	4.92
steve	5.38
job	5.96
could	5.52
claim	5.18
similar	5.96
achievement	7.58
in	5.5
two	5.4
such	5.16
different	5.38
industry	5.38
sometimes	5.28
put	5.04
out	4.62
a	5.24
new	6.82
apple	7.44
product	5.56
and	5.22
a	5.24
blockbuster	-1
pixar	-1
movie	6.84
in	5.5
the	4.98
same	5.36
year	5.38
and	5.22
yet	4.7
musk	-1
be	5.68
not	3.86
do	5.76
he	5.42
be	5.68
also	5.42
the	4.98
chairman	5.3
and	5.22
large	6.06
shareholder	-1
of	4.94
solarcity	-1
a	5.24
boom	5.12
solar	6.54
energy	7.22
company	5.44
poise	-1
to	4.98
file	5.22
for	5.22
an	4.84
initial	5.42
public	5.18
offering	6.32
musk	-1
have	5.82
somehow	5.14
deliver	6.24
the	4.98
big	6.22
advance	6.58
the	4.98
space	5.96
automotive	-1
and	5.22
energy	7.22
industry	5.38
have	5.82
see	6.06
in	5.5
decade	5.2
in	5.5
what	4.8
felt	5.48
like	7.22
one	5.4
fell	3.22
swoop	-1
it	5.02
be	5.68
in	5.5
that	4.94
i	5.92
decide	5.84
to	4.98
see	6.06
what	4.8
musk	-1
be	5.68
like	7.22
firsthand	-1
and	5.22
to	4.98
write	5.8
a	5.24
cover	5.32
story	6.48
about	5.16
him	5.54
for	5.22
bloomberg	4.9
businessweek	-1
at	4.9
this	5.06
point	5.42
in	5.5
musk	-1
s	5.04
life	7.32
everything	5.96
ran	5.5
through	5.62
his	5.56
assistant	5.62
loyal	7.46
appendage	-1
mary	5.88
beth	5.52
brown	5.44
she	6.18
invite	6.64
me	6.58
to	4.98
visit	6.54
what	4.8
i	5.92
ve	4.92
come	5.82
to	4.98
refer	5.98
to	4.98
as	5.22
musk	-1
land	6.18
anyone	5.02
arrive	6.32
at	4.9
musk	-1
land	6.18
for	5.22
the	4.98
first	6.82
time	5.74
will	6.02
have	5.82
the	4.98
same	5.36
head	5.96
scratch	4.22
experience	6.34
you	6.24
re	4.88
told	5.08
to	4.98
park	7.08
at	4.9
one	5.4
rocket	6.38
road	5.86
in	5.5
hawthorne	-1
where	5.02
spacex	-1
have	5.82
its	4.96
hq	-1
it	5.02
seem	5.24
impossible	2.9
that	4.94
anything	5.34
good	7.2
could	5.52
call	5.74
hawthorne	-1
home	7.14
it	5.02
s	5.04
a	5.24
bleak	-1
part	4.98
of	4.94
los	4.7
angeles	5.84
county	5.3
in	5.5
which	4.94
grouping	-1
of	4.94
rundown	-1
house	6.34
run	5.48
down	3.66
shop	6.76
and	5.22
run	5.48
down	3.66
eatery	-1
surround	5.44
huge	6.14
industrial	5.02
complex	5.04
that	4.94
appear	5.84
to	4.98
have	5.82
be	5.68
built	6.24
during	5.2
some	5.02
kind	7.24
of	4.94
architectural	6.22
boring	2.9
rectangle	-1
movement	5.94
do	5.76
elon	-1
musk	-1
really	5.84
stick	5.08
his	5.56
company	5.44
in	5.5
the	4.98
middle	5.34
of	4.94
this	5.06
dreck	-1
then	5.34
okay	6.56
thing	5.58
start	6.1
to	4.98
make	6.0
more	6.24
sense	6.3
when	4.96
you	6.24
see	6.06
one	5.4
square	5.48
foot	5.02
rectangle	-1
paint	6.3
an	4.84
ostentatious	-1
hue	-1
of	4.94
unity	6.92
of	4.94
body	5.96
soul	6.34
and	5.22
mind	6.04
white	6.28
this	5.06
be	5.68
the	4.98
main	5.4
spacex	-1
building	5.94
it	5.02
be	5.68
only	4.92
after	5.08
go	5.54
through	5.62
the	4.98
front	5.58
door	5.38
of	4.94
spacex	-1
that	4.94
the	4.98
grandeur	-1
of	4.94
what	4.8
this	5.06
man	5.9
have	5.82
do	5.76
become	5.7
apparent	5.6
musk	-1
have	5.82
built	6.24
an	4.84
honest	7.46
to	4.98
god	7.28
rocket	6.38
factory	5.08
in	5.5
the	4.98
middle	5.34
of	4.94
los	4.7
angeles	5.84
and	5.22
this	5.06
factory	5.08
be	5.68
not	3.86
make	6.0
one	5.4
rocket	6.38
at	4.9
a	5.24
time	5.74
no	3.48
it	5.02
be	5.68
make	6.0
many	5.82
rocket	6.38
from	5.18
scratch	4.22
the	4.98
factory	5.08
be	5.68
a	5.24
giant	5.34
share	6.78
work	5.24
area	5.44
near	5.72
the	4.98
back	5.18
be	5.68
massive	5.34
delivery	6.02
bay	5.96
