	-1
all	6.22
of	4.94
my	6.16
business	5.94
idea	7.06
be	5.68
built	6.24
on	5.56
a	5.24
foundation	5.66
as	5.22
unsteady	-1
and	5.22
shifty	-1
as	5.22
the	4.98
sand	5.86
load	4.74
into	5.04
the	4.98
truck	5.48
ahead	6.08
of	4.94
us	6.26
that	4.94
truck	5.48
by	4.98
the	4.98
way	5.24
be	5.68
still	5.14
in	5.5
the	4.98
left	4.64
lane	5.22
move	5.72
slowly	4.32
hold	5.7
everybody	6.2
up	6.14
i	5.92
m	5.06
frustrate	-1
i	5.92
flash	5.98
my	6.16
light	6.4
the	4.98
truck	5.48
driver	5.7
look	5.54
at	4.9
me	6.58
in	5.5
the	4.98
rearview	-1
mirror	6.26
doesn	4.71
t	4.84
even	5.58
react	5.16
i	5.92
mutter	-1
a	5.24
few	4.5
irrational	-1
obscenity	-1
you	6.24
need	4.84
to	4.98
relax	7.7
reed	5.26
say	5.54
gesture	-1
to	4.98
the	4.98
traffic	3.34
ahead	6.08
of	4.94
us	6.26
he	5.42
s	5.04
already	5.28
told	5.08
me	6.58
twice	5.6
that	4.94
my	6.16
habit	5.48
of	4.94
constantly	5.3
change	5.56
lane	5.22
be	5.68
in	5.5
the	4.98
end	4.36
counterproductive	-1
and	5.22
inefficient	-1
my	6.16
drive	6.08
make	6.0
him	5.54
insane	3.04
and	5.22
a	5.24
little	4.6
carsick	-1
we	6.38
ll	4.82
get	5.92
there	5.1
when	4.96
we	6.38
get	5.92
there	5.1
i	5.92
m	5.06
gonna	4.86
pull	4.74
my	6.16
hair	6.04
out	4.62
i	5.92
say	5.54
and	5.22
i	5.92
don	4.98
t	4.84
have	5.82
much	5.74
left	4.64
i	5.92
run	5.48
my	6.16
hand	5.9
through	5.62
the	4.98
remnant	-1
of	4.94
my	6.16
curl	-1
and	5.22
then	5.34
it	5.02
happens	5.2
i	5.92
have	5.82
one	5.4
of	4.94
those	4.94
all	6.22
too	5.22
rare	6.02
epiphany	-1
moment	5.68
it	5.02
seem	5.24
like	7.22
everything	5.96
happens	5.2
at	4.9
once	4.94
the	4.98
sun	7.8
come	5.82
out	4.62
of	4.94
the	4.98
cloud	5.62
and	5.22
it	5.02
stop	3.9
drizzle	-1
the	4.98
sand	5.86
truck	5.48
wheeze	-1
to	4.98
life	7.32
and	5.22
merges	-1
into	5.04
the	4.98
proper	5.94
lane	5.22
and	5.22
traffic	3.34
start	6.1
to	4.98
move	5.72
it	5.02
feel	5.9
like	7.22
i	5.92
can	5.62
see	6.06
for	5.22
mile	5.04
down	3.66
into	5.04
the	4.98
clog	-1
heart	7.22
of	4.94
san	5.02
jose	5.52
house	6.34
office	5.12
building	5.94
treetop	-1
wave	6.34
in	5.5
the	4.98
breeze	6.88
we	6.38
pick	5.6
up	6.14
speed	6.24
and	5.22
the	4.98
redwood	-1
fall	4.04
away	4.22
behind	4.42
us	6.26
and	5.22
in	5.5
the	4.98
distance	4.5
i	5.92
see	6.06
mount	5.54
hamilton	5.64
its	4.96
crest	-1
sparkle	7.08
with	5.72
fresh	7.26
snow	6.32
and	5.22
then	5.34
it	5.02
come	5.82
to	4.98
me	6.58
the	4.98
idea	7.06
that	4.94
will	6.02
finally	5.58
work	5.24
personalize	-1
shampoo	-1
by	4.98
mail	6.36
i	5.92
say	5.54
silicon	-1
valley	6.26
love	8.42
a	5.24
good	7.2
origin	5.63
story	6.48
the	4.98
idea	7.06
that	4.94
change	5.56
everything	5.96
the	4.98
middle	5.34
of	4.94
the	4.98
night	6.22
lightbulb	-1
moment	5.68
the	4.98
what	4.8
if	4.66
we	6.38
could	5.52
do	5.76
this	5.06
differently	-1
conversation	6.24
origin	5.63
story	6.48
often	5.68
hinge	-1
on	5.56
epiphany	-1
the	4.98
story	6.48
told	5.08
to	4.98
skeptical	-1
investor	5.94
wary	-1
board	4.76
member	5.94
inquisitive	-1
reporter	5.16
and	5.22
eventually	5.28
the	4.98
public	5.18
usually	5.66
highlight	-1
a	5.24
specific	5.6
moment	5.68
the	4.98
moment	5.68
it	5.02
all	6.22
become	5.7
clear	6.3
brian	5.3
chesky	-1
and	5.22
joe	5.22
gebbia	-1
can	5.62
t	4.84
afford	6.16
their	5.16
san	5.02
francisco	5.6
rent	3.84
then	5.34
realize	5.84
that	4.94
they	5.62
can	5.62
blow	4.48
up	6.14
an	4.84
air	6.8
mattress	-1
and	5.22
charge	4.9
people	6.16
to	4.98
sleep	7.16
on	5.56
it	5.02
that	4.94
s	5.04
airbnb	-1
travis	-1
kalanick	-1
spends	-1
on	5.56
a	5.24
private	5.92
driver	5.7
on	5.56
new	6.82
year	5.38
s	5.04
eve	5.62
and	5.22
think	6.2
there	5.1
have	5.82
to	4.98
be	5.68
a	5.24
cheaper	6.08
way	5.24
that	4.94
s	5.04
uber	-1
there	5.1
s	5.04
a	5.24
popular	6.6
story	6.48
about	5.16
netflix	5.96
that	4.94
say	5.54
the	4.98
idea	7.06
come	5.82
to	4.98
reed	5.26
after	5.08
he	5.42
d	4.72
rung	-1
up	6.14
a	5.24
late	3.46
fee	3.46
on	5.56
apollo	-1
at	4.9
blockbuster	-1
he	5.42
thought	6.38
what	4.8
if	4.66
there	5.1
be	5.68
no	3.48
late	3.46
fee	3.46
and	5.22
boom	5.12
the	4.98
idea	7.06
for	5.22
netflix	5.96
be	5.68
born	6.82
that	4.94
story	6.48
be	5.68
beautiful	7.92
it	5.02
s	5.04
useful	7.1
it	5.02
be	5.68
as	5.22
we	6.38
say	5.54
in	5.5
marketing	5.2
emotionally	-1
true	7.08
but	4.24
as	5.22
you	6.24
ll	4.82
see	6.06
in	5.5
this	5.06
book	7.24
it	5.02
s	5.04
not	3.86
the	4.98
whole	5.88
story	6.48
yes	6.74
there	5.1
be	5.68
an	4.84
overdue	-1
copy	5.38
of	4.94
apollo	-1
involve	5.8
but	4.24
the	4.98
idea	7.06
for	5.22
netflix	5.96
have	5.82
nothing	3.9
to	4.98
do	5.76
with	5.72
late	3.46
fee	3.46
in	5.5
fact	5.9
at	4.9
the	4.98
begin	6.28
we	6.38
even	5.58
charge	4.9
them	4.92
more	6.24
importantly	-1
the	4.98
idea	7.06
for	5.22
netflix	5.96
didn	4.8
t	4.84
appear	5.84
in	5.5
a	5.24
moment	5.68
of	4.94
divine	7.26
inspiration	7.02
it	5.02
didn	4.8
t	4.84
come	5.82
to	4.98
us	6.26
in	5.5
a	5.24
flash	5.98
perfect	7.42
and	5.22
useful	7.1
and	5.22
obviously	5.54
right	6.54
epiphany	-1
be	5.68
rare	6.02
and	5.22
when	4.96
they	5.62
appear	5.84
in	5.5
origin	5.63
story	6.48
they	5.62
re	4.88
often	5.68
oversimplify	-1
or	4.98
just	5.76
plain	5.0
false	3.18
we	6.38
like	7.22
these	5.1
tale	6.24
because	5.0
they	5.62
align	-1
with	5.72
a	5.24
romantic	7.72
idea	7.06
about	5.16
inspiration	7.02
and	5.22
genius	7.6
we	6.38
want	5.7
our	6.08
isaac	-1
newton	5.78
to	4.98
be	5.68
sit	5.36
under	4.6
the	4.98
apple	7.44
tree	7.12
when	4.96
the	4.98
apple	7.44
fall	4.04
we	6.38
want	5.7
archimedes	-1
in	5.5
his	5.56
bathtub	-1
but	4.24
the	4.98
truth	7.42
be	5.68
usually	5.66
more	6.24
complicate	-1
than	4.74
that	4.94
the	4.98
truth	7.42
be	5.68
that	4.94
for	5.22
every	5.64
good	7.2
idea	7.06
there	5.1
be	5.68
a	5.24
thousand	5.9
bad	2.64
one	5.4
and	5.22
sometimes	5.28
it	5.02
can	5.62
be	5.68
hard	4.1
to	4.98
tell	5.42
the	4.98
difference	4.78
customize	-1
sport	6.64
good	7.2
personalize	-1
surfboard	-1
dog	6.7
food	7.44
individually	-1
formulate	-1
for	5.22
your	5.6
dog	6.7
these	5.1
be	5.68
all	6.22
idea	7.06
i	5.92
pitch	5.62
to	4.98
reed	5.26
idea	7.06
i	5.92
spent	4.76
hour	5.32
work	5.24
on	5.56
idea	7.06
i	5.92
thought	6.38
be	5.68
well	6.68
than	4.74
the	4.98
idea	7.06
that	4.94
eventually	5.28
after	5.08
month	5.18
of	4.94
research	6.46
hundred	5.82
of	4.94
hour	5.32
of	4.94
discussion	5.7
and	5.22
marathon	5.56
meeting	5.46
in	5.5
a	5.24
family	7.72
restaurant	7.06
become	5.7
netflix	5.96
i	5.92
have	5.82
no	3.48
idea	7.06
what	4.8
would	5.38
work	5.24
and	5.22
what	4.8
wouldn	4.4
t	4.84
in	5.5
all	6.22
i	5.92
knew	5.94
be	5.68
that	4.94
i	5.92
want	5.7
to	4.98
start	6.1
my	6.16
own	6.16
company	5.44
and	5.22
that	4.94
i	5.92
want	5.7
it	5.02
to	4.98
involve	5.8
sell	5.48
thing	5.58
on	5.56
the	4.98
internet	7.48
that	4.94
be	5.68
it	5.02
it	5.02
seem	5.24
absurd	-1
that	4.94
one	5.4
of	4.94
the	4.98
large	6.06
medium	5.32
company	5.44
in	5.5
the	4.98
world	6.52
could	5.52
come	5.82
from	5.18
those	4.94
two	5.4
desire	6.68
but	4.24
it	5.02
do	5.76
this	5.06
be	5.68
a	5.24
story	6.48
about	5.16
how	4.68
we	6.38
go	5.54
from	5.18
personalize	-1
shampoo	-1
to	4.98
netflix	5.96
but	4.24
it	5.02
s	5.04
also	5.42
a	5.24
story	6.48
about	5.16
the	4.98
amaze	-1
life	7.32
of	4.94
an	4.84
idea	7.06
from	5.18
dream	7.1
to	4.98
concept	5.48
to	4.98
share	6.78
reality	5.94
and	5.22
about	5.16
how	4.68
the	4.98
thing	5.58
we	6.38
learn	6.7
on	5.56
that	4.94
journey	7.14
which	4.94
take	5.18
us	6.26
from	5.18
two	5.4
guy	5.92
throw	5.0
idea	7.06
around	5.62
in	5.5
a	5.24
car	6.72
to	4.98
a	5.24
dozen	5.46
people	6.16
at	4.9
computer	7.24
in	5.5
a	5.24
former	4.52
bank	5.92
to	4.98
hundred	5.82
of	4.94
employee	5.74
watch	5.7
our	6.08
company	5.44
s	5.04
letter	5.94
scroll	-1
across	4.94
a	5.24
stock	5.8
ticker	-1
change	5.56
our	6.08
life	7.32
one	5.4
of	4.94
my	6.16
goal	7.02
in	5.5
tell	5.42
this	5.06
story	6.48
be	5.68
to	4.98
puncture	-1
some	5.02
of	4.94
the	4.98
myth	5.9
that	4.94
attach	-1
themselves	5.02
to	4.98
narrative	6.16
like	7.22
ours	5.98
but	4.24
it	5.02
s	5.04
equally	6.4
important	6.32
to	4.98
me	6.58
to	4.98
show	6.24
how	4.68
and	5.22
why	4.98
some	5.02
of	4.94
the	4.98
thing	5.58
we	6.38
do	5.76
at	4.9
the	4.98
begin	6.28
often	5.68
unwittingly	-1
work	5.24
it	5.02
s	5.04
be	5.68
over	4.82
twenty	5.9
year	5.38
since	5.24
those	4.94
first	6.82
car	6.72
ride	6.14
with	5.72
reed	5.26
and	5.22
in	5.5
that	4.94
time	5.74
i	5.92
ve	4.92
come	5.82
to	4.98
realize	5.84
that	4.94
there	5.1
be	5.68
thing	5.58
we	6.38
discover	6.84
that	4.94
apply	5.82
broadly	-1
can	5.62
influence	5.64
a	5.24
project	5.74
s	5.04
success	7.86
not	3.86
exactly	6.0
law	4.9
not	3.86
even	5.58
principle	6.0
but	4.24
hard	4.1
won	8.1
truth	7.42
truth	7.42
like	7.22
distrust	-1
epiphany	-1
the	4.98
best	7.18
idea	7.06
rarely	4.38
come	5.82
on	5.56
a	5.24
mountaintop	-1
in	5.5
a	5.24
flash	5.98
of	4.94
lightning	5.2
they	5.62
don	4.98
t	4.84
even	5.58
come	5.82
to	4.98
you	6.24
on	5.56
the	4.98
side	5.12
of	4.94
a	5.24
mountain	6.4
when	4.96
you	6.24
re	4.88
stuck	3.66
in	5.5
traffic	3.34
behind	4.42
a	5.24
sand	5.86
truck	5.48
they	5.62
