	-1
a	5.24
ph	5.18
d	4.72
graduate	7.08
from	5.18
princeton	5.74
hughes	5.06
oh	4.84
i	5.92
see	6.06
rathmann	-1
it	5.02
wasn	4.63
t	4.84
that	4.94
bad	2.64
actually	5.3
a	5.24
ph	5.18
d	4.72
in	5.5
physical	5.88
chemistry	6.14
have	5.82
credibility	-1
beyond	5.5
what	4.8
it	5.02
deserves	5.88
i	5.92
be	5.68
immediately	5.66
pretty	7.32
popular	6.6
on	5.56
the	4.98
circuit	5.1
i	5.92
actually	5.3
have	5.82
solicit	-1
m	5.06
i	5.92
heard	5.36
about	5.16
it	5.02
through	5.62
my	6.16
brother	7.22
dick	4.62
who	5.06
have	5.82
a	5.24
relationship	7.04
to	4.98
m	5.06
he	5.42
say	5.54
you	6.24
really	5.84
ought	4.76
to	4.98
look	5.54
into	5.04
m	5.06
it	5.02
s	5.04
a	5.24
great	7.88
company	5.44
when	4.96
i	5.92
go	5.54
there	5.1
i	5.92
be	5.68
dazzle	-1
	-1
hughes	5.06
rathmann	-1
they	5.62
be	5.68
do	5.76
so	5.08
many	5.82
different	5.38
thing	5.58
very	6.12
excite	-1
innovation	-1
and	5.22
the	4.98
concept	5.48
of	4.94
innovation	-1
as	5.22
a	5.24
career	6.66
seem	5.24
more	6.24
attractive	7.48
than	4.74
just	5.76
grind	4.22
out	4.62
science	6.86
i	5.92
love	8.42
science	6.86
but	4.24
the	4.98
fact	5.9
be	5.68
that	4.94
there	5.1
be	5.68
a	5.24
spectacular	-1
aspect	5.66
to	4.98
m	5.06
they	5.62
be	5.68
do	5.76
thing	5.58
like	7.22
make	6.0
reflective	-1
sheet	5.53
on	5.56
highway	5.48
it	5.02
be	5.68
brilliant	7.68
science	6.86
how	4.68
do	5.76
you	6.24
figure	5.5
out	4.62
how	4.68
to	4.98
do	5.76
that	4.94
then	5.34
they	5.62
have	5.82
dry	4.64
copying	-1
in	5.5
the	4.98
form	5.28
of	4.94
thermofax	-1
they	5.62
have	5.82
many	5.82
program	5.68
when	4.96
i	5.92
get	5.92
there	5.1
that	4.94
be	5.68
very	6.12
excite	-1
one	5.4
that	4.94
be	5.68
intrigue	-1
to	4.98
me	6.58
be	5.68
fluorochemicals	-1
i	5.92
probably	5.64
never	3.34
even	5.58
thought	6.38
about	5.16
a	5.24
molecule	-1
that	4.94
could	5.52
contain	5.7
three	5.72
quarter	5.56
of	4.94
its	4.96
weight	4.52
in	5.5
fluorine	-1
before	5.1
i	5.92
be	5.68
expose	-1
to	4.98
the	4.98
m	5.06
fluorochemical	-1
program	5.68
you	6.24
be	5.68
create	6.82
a	5.24
whole	5.88
new	6.82
class	5.52
of	4.94
molecule	-1
and	5.22
you	6.24
have	5.82
no	3.48
idea	7.06
what	4.8
they	5.62
be	5.68
go	5.54
to	4.98
do	5.76
you	6.24
already	5.28
have	5.82
some	5.02
spectacular	-1
result	6.0
very	6.12
low	3.66
surface	5.32
tension	2.94
very	6.12
low	3.66
solubility	-1
very	6.12
unusual	4.44
property	5.86
so	5.08
i	5.92
go	5.54
into	5.04
the	4.98
fluorochemical	-1
part	4.98
of	4.94
polymer	-1
when	4.96
i	5.92
get	5.92
into	5.04
m	5.06
and	5.22
i	5.92
sort	5.28
of	4.94
forgot	3.44
about	5.16
my	6.16
medical	4.72
interest	6.36
although	4.58
a	5.24
few	4.5
year	5.38
later	4.6
one	5.4
part	4.98
of	4.94
my	6.16
responsibility	5.72
include	5.94
the	4.98
biochemistry	-1
area	5.44
of	4.94
m	5.06
which	4.94
be	5.68
just	5.76
begin	6.28
at	4.9
the	4.98
time	5.74
biochemistry	-1
be	5.68
very	6.12
intrigue	-1
to	4.98
me	6.58
i	5.92
have	5.82
some	5.02
responsibility	5.72
there	5.1
about	5.16
that	4.94
time	5.74
i	5.92
left	4.64
to	4.98
go	5.54
to	4.98
litton	-1
industry	5.38
and	5.22
that	4.94
be	5.68
a	5.24
bit	4.54
of	4.94
a	5.24
disaster	1.96
after	5.08
litton	-1
didn	4.8
t	4.84
work	5.24
out	4.62
i	5.92
be	5.68
down	3.66
there	5.1
in	5.5
the	4.98
chicago	5.84
area	5.44
and	5.22
a	5.24
couple	7.3
of	4.94
mutual	6.14
friend	7.66
say	5.54
that	4.94
they	5.62
be	5.68
really	5.84
look	5.54
for	5.22
someone	5.3
in	5.5
the	4.98
diagnostic	5.02
field	5.88
at	4.9
abbott	-1
i	5.92
have	5.82
be	5.68
acquaint	-1
with	5.72
abbott	-1
for	5.22
year	5.38
i	5.92
actually	5.3
have	5.82
some	5.02
interaction	6.51
with	5.72
them	4.92
when	4.96
i	5.92
be	5.68
with	5.72
m	5.06
but	4.24
this	5.06
be	5.68
brand	5.58
new	6.82
it	5.02
be	5.68
diagnostics	-1
and	5.22
i	5.92
just	5.76
love	8.42
diagnostics	-1
i	5.92
just	5.76
thought	6.38
that	4.94
be	5.68
great	7.88
thing	5.58
because	5.0
if	4.66
you	6.24
know	6.1
exactly	6.0
what	4.8
s	5.04
go	5.54
wrong	3.14
you	6.24
ll	4.82
be	5.68
able	6.56
to	4.98
fix	6.28
it	5.02
a	5.24
lot	5.78
easy	6.76
ignorance	2.98
be	5.68
not	3.86
a	5.24
very	6.12
good	7.2
thing	5.58
diagnostics	-1
be	5.68
a	5.24
big	6.22
step	5.32
forward	6.1
in	5.5
fact	5.9
i	5.92
thought	6.38
about	5.16
diagnostics	-1
quite	5.32
a	5.24
bit	4.54
before	5.1
i	5.92
ever	5.42
get	5.92
to	4.98
abbott	-1
and	5.22
it	5.02
seem	5.24
to	4.98
me	6.58
that	4.94
that	4.94
be	5.68
a	5.24
very	6.12
interest	6.36
place	5.56
do	5.76
you	6.24
think	6.2
your	5.6
early	5.66
interest	6.36
in	5.5
medicine	5.08
start	6.1
you	6.24
down	3.66
the	4.98
apply	5.82
track	5.14
you	6.24
could	5.52
have	5.82
become	5.7
a	5.24
theoretical	5.84
chemist	-1
for	5.22
example	5.58
do	5.76
that	4.94
ever	5.42
attract	6.72
you	6.24
anything	5.34
new	6.82
attract	6.72
me	6.58
there	5.1
would	5.38
be	5.68
no	3.48
deny	3.44
that	4.94
that	4.94
would	5.38
be	5.68
truth	7.42
the	4.98
fact	5.9
be	5.68
that	4.94
quantum	-1
mechanic	-1
and	5.22
statistical	5.4
mechanic	-1
be	5.68
very	6.12
excite	-1
course	5.42
and	5.22
i	5.92
have	5.82
a	5.24
little	4.6
taste	6.88
of	4.94
them	4.92
at	4.9
northwestern	-1
but	4.24
at	4.9
princeton	5.74
i	5.92
get	5.92
right	6.54
up	6.14
to	4.98
my	6.16
eyeball	-1
in	5.5
theoretical	5.84
science	6.86
i	5.92
love	8.42
it	5.02
i	5.92
thought	6.38
that	4.94
it	5.02
be	5.68
a	5.24
very	6.12
excite	-1
field	5.88
i	5.92
have	5.82
never	3.34
plan	6.14
to	4.98
be	5.68
a	5.24
physician	5.34
that	4.94
really	5.84
wasn	4.63
t	4.84
why	4.98
i	5.92
do	5.76
the	4.98
premed	-1
i	5.92
have	5.82
a	5.24
brother	7.22
in	5.5
law	4.9
frank	5.94
steldt	-1
who	5.06
do	5.76
medical	4.72
research	6.46
at	4.9
eli	-1
lilly	-1
company	5.44
and	5.22
that	4.94
be	5.68
one	5.4
of	4.94
the	4.98
charm	7.06
i	5.92
be	5.68
hop	5.6
to	4.98
grab	5.06
hold	5.7
of	4.94
that	4.94
i	5.92
would	5.38
be	5.68
lucky	7.68
enough	5.46
to	4.98
have	5.82
a	5.24
job	5.96
to	4.98
do	5.76
medical	4.72
research	6.46
if	4.66
the	4.98
way	5.24
to	4.98
get	5.92
there	5.1
be	5.68
to	4.98
have	5.82
an	4.84
m	5.06
d	4.72
and	5.22
then	5.34
a	5.24
ph	5.18
d	4.72
that	4.94
s	5.04
what	4.8
i	5.92
would	5.38
do	5.76
if	4.66
you	6.24
get	5.92
it	5.02
with	5.72
the	4.98
m	5.06
d	4.72
alone	3.32
i	5.92
would	5.38
do	5.76
that	4.94
but	4.24
i	5.92
knew	5.94
if	4.66
you	6.24
be	5.68
go	5.54
to	4.98
do	5.76
medical	4.72
research	6.46
you	6.24
probably	5.64
want	5.7
to	4.98
get	5.92
at	4.9
least	4.0
an	4.84
m	5.06
d	4.72
but	4.24
when	4.96
i	5.92
couldn	4.49
t	4.84
get	5.92
into	5.04
medical	4.72
school	6.26
when	4.96
i	5.92
be	5.68
eighteen	6.24
i	5.92
decide	5.84
that	4.94
there	5.1
be	5.68
alternative	5.94
my	6.16
advisor	-1
urge	5.18
me	6.58
to	4.98
go	5.54
to	4.98
princeton	5.74
he	5.42
be	5.68
a	5.24
princetonian	-1
and	5.22
he	5.42
say	5.54
that	4.94
s	5.04
just	5.76
the	4.98
right	6.54
place	5.56
for	5.22
you	6.24
so	5.08
i	5.92
go	5.54
to	4.98
princeton	5.74
in	5.5
physical	5.88
chemistry	6.14
and	5.22
do	5.76
not	3.86
have	5.82
a	5.24
medical	4.72
thesis	5.35
i	5.92
have	5.82
a	5.24
thesis	5.35
on	5.56
microwave	-1
and	5.22
it	5.02
be	5.68
a	5.24
fun	7.96
thesis	5.35
hut	5.04
it	5.02
have	5.82
nothing	3.9
to	4.98
do	5.76
with	5.72
medicine	5.08
but	4.24
when	4.96
i	5.92
thought	6.38
about	5.16
it	5.02
later	4.6
on	5.56
i	5.92
really	5.84
miss	3.64
not	3.86
have	5.82
a	5.24
medical	4.72
dimension	5.8
to	4.98
what	4.8
i	5.92
be	5.68
do	5.76
when	4.96
i	5.92
get	5.92
to	4.98
m	5.06
the	4.98
man	5.9
frank	5.94
bovey	-1
who	5.06
be	5.68
in	5.5
charge	4.9
of	4.94
the	4.98
work	5.24
there	5.1
i	5.92
report	4.76
to	4.98
him	5.54
left	4.64
to	4.98
	-1
go	5.54
to	4.98
bell	5.58
lab	5.44
to	4.98
do	5.76
more	6.24
biologically	-1
driven	5.96
research	6.46
it	5.02
woke	5.56
me	6.58
up	6.14
again	5.42
to	4.98
a	5.24
deep	5.74
appetite	-1
to	4.98
be	5.68
involve	5.8
with	5.72
the	4.98
medical	4.72
side	5.12
but	4.24
i	5.92
really	5.84
didn	4.8
t	4.84
do	5.76
much	5.74
i	5.92
get	5.92
involve	5.8
a	5.24
little	4.6
bit	4.54
with	5.72
the	4.98
biochemistry	-1
department	5.26
at	4.9
m	5.06
but	4.24
i	5.92
really	5.84
didn	4.8
t	4.84
do	5.76
much	5.74
in	5.5
the	4.98
direction	5.54
of	4.94
medicine	5.08
until	4.94
i	5.92
go	5.54
to	4.98
litton	-1
in	5.5
what	4.8
be	5.68
call	5.74
at	4.9
that	4.94
time	5.74
the	4.98
profexray	-1
division	4.36
i	5.92
rename	-1
it	5.02
litton	-1
medical	4.72
system	5.3
while	5.12
i	5.92
be	5.68
the	4.98
president	5.86
of	4.94
that	4.94
division	4.36
it	5.02
be	5.68
all	6.22
medical	4.72
it	5.02
be	5.68
medical	4.72
device	5.54
and	5.22
x	4.92
ray	5.52
film	6.56
it	5.02
wasn	4.63
t	4.84
medicine	5.08
in	5.5
the	4.98
form	5.28
of	4.94
pharmaceutical	-1
at	4.9
all	6.22
we	6.38
have	5.82
nothing	3.9
like	7.22
that	4.94
but	4.24
i	5.92
be	5.68
still	5.14
might	5.08
turn	5.2
on	5.56
by	4.98
the	4.98
fact	5.9
that	4.94
you	6.24
re	4.88
deal	6.32
w	4.86
ith	-1
people	6.16
and	5.22
help	6.08
sick	2.02
people	6.16
get	5.92
well	6.68
that	4.94
s	5.04
the	4.98
fun	7.96
thing	5.58
then	5.34
of	4.94
course	5.42
i	5.92
have	5.82
trouble	2.78
with	5.72
litton	-1
we	6.38
be	5.68
lose	2.76
money	7.3
and	5.22
i	5.92
couldn	4.49
t	4.84
see	6.06
my	6.16
way	5.24
through	5.62
ever	5.42
have	5.82
a	5.24
decent	6.22
job	5.96
there	5.1
so	5.08
i	5.92
left	4.64
and	5.22
go	5.54
to	4.98
abbott	-1
mutual	6.14
friend	7.66
told	5.08
me	6.58
about	5.16
abbott	-1
need	4.84
a	5.24
diagnostic	5.02
head	5.96
of	4.94
research	6.46
and	5.22
then	5.34
later	4.6
on	5.56
i	5.92
be	5.68
vice	4.16
president	5.86
for	5.22
research	6.46
and	5.22
development	6.38
but	4.24
initially	5.2
i	5.92
be	5.68
just	5.76
head	5.96
of	4.94
research	6.46
now	5.9
i	5.92
wasn	4.63
t	4.84
a	5.24
ceo	5.1
like	7.22
at	4.9
litton	-1
one	5.4
might	5.08
wonder	7.08
why	4.98
you	6.24
would	5.38
want	5.7
to	4.98
give	6.54
up	6.14
a	5.24
ceo	5.1
position	5.86
to	4.98
be	5.68
a	5.24
research	6.46
head	5.96
well	6.68
i	5.92
have	5.82
ceo	5.1
up	6.14
to	4.98
the	4.98
eyeball	-1
i	5.92
didn	4.8
t	4.84
need	4.84
anymore	4.56
of	4.94
that	4.94
particularly	5.46
at	4.9
litton	-1
you	6.24
learn	6.7
the	4.98
hard	4.1
way	5.24
it	5.02
s	5.04
call	5.74
the	4.98
gray	4.62
davis	5.1
effect	5.16
that	4.94
when	4.96
thing	5.58
do	5.76
not	3.86
go	5.54
well	6.68
thing	5.58
don	4.98
t	4.84
go	5.54
well	6.68
you	6.24
re	4.88
it	5.02
boy	6.24
you	6.24
do	5.76
it	5.02
all	6.22
laughter	8.5
you	6.24
make	6.0
all	6.22
the	4.98
mistake	2.78
and	5.22
eveiybody	-1
point	5.42
their	5.16
finger	5.36
and	5.22
that	4.94
w	4.86
as	5.22
what	4.8
happen	5.28
to	4.98
me	6.58
at	4.9
litton	-1
i	5.92
be	5.68
dead	2.0
meat	6.2
when	4.96
i	5.92
be	5.68
there	5.1
for	5.22
one	5.4
month	5.18
hughes	5.06
have	5.82
you	6.24
walk	6.02
onto	5.14
a	5.24
sinking	3.48
ship	5.96
so	5.08
to	4.98
speak	5.9
and	5.22
then	5.34
gotten	5.42
blame	2.82
rathmann	-1
yes	6.74
it	5.02
be	5.68
a	5.24
sinking	3.48
ship	5.96
and	5.22
they	5.62
didn	4.8
t	4.84
hesitate	4.33
the	4.98
first	6.82
week	5.08
i	5.92
be	5.68
there	5.1
i	5.92
hadn	4.52
t	4.84
move	5.72
yet	4.7
i	5.92
be	5.68
still	5.14
up	6.14
in	5.5
minnesota	5.24
i	5.92
get	5.92
a	5.24
telex	-1
up	6.14
in	5.5
minnesota	5.24
stop	3.9
the	4.98
cash	7.42
drain	4.12
your	5.6
division	4.36
s	5.04
go	5.54
to	4.98
hell	2.22
well	6.68
i	5.92
look	5.54
at	4.9
the	4.98
number	5.3
and	5.22
th	4.76
cash	7.42
drain	4.12
have	5.82
be	5.68
go	5.54
on	5.56
for	5.22
year	5.38
but	4.24
it	5.02
become	5.7
my	6.16
job	5.96
to	4.98
stop	3.9
it	5.02
and	5.22
that	4.94
s	5.04
right	6.54
i	5.92
mean	3.68
if	4.66
you	6.24
say	5.54
to	4.98
the	4.98
ceo	5.1
well	6.68
this	5.06
isn	4.86
t	4.84
your	5.6
problem	2.98
this	5.06
be	5.68
somebody	5.3
else	4.76
s	5.04
problem	2.98
they	5.62
re	4.88
never	3.34
go	5.54
to	4.98
get	5.92
it	5.02
fix	6.28
so	5.08
that	4.94
be	5.68
okay	6.56
with	5.72
me	6.58
i	5.92
knew	5.94
i	5.92
have	5.82
to	4.98
fix	6.28
it	5.02
but	4.24
i	5.92
also	5.42
knew	5.94
it	5.02
be	5.68
beyond	5.5
me	6.58
to	4.98
fix	6.28
it	5.02
i	5.92
wasn	4.63
t	4.84
a	5.24
turnaround	-1
artist	6.74
i	5.92
wasn	4.63
t	4.84
a	5.24
deal	6.32
with	5.72
disaster	1.96
artist	6.74
what	4.8
i	5.92
be	5.68
probably	5.64
well	6.68
at	4.9
than	4.74
anybody	4.96
around	5.62
be	5.68
get	5.92
new	6.82
product	5.56
launch	6.4
and	5.22
get	5.92
the	4.98
idea	7.06
and	5.22
get	5.92
the	4.98
people	6.16
stimulate	-1
to	4.98
want	5.7
to	4.98
do	5.76
new	6.82
thing	5.58
and	5.22
to	4.98
get	5.92
them	4.92
to	4.98
do	5.76
it	5.02
and	5.22
take	5.18
risk	3.62
and	5.22
push	4.44
new	6.82
idea	7.06
there	5.1
be	5.68
no	3.48
hope	7.38
for	5.22
that	4.94
at	4.9
litton	-1
we	6.38
be	5.68
do	5.76
a	5.24
bailing	-1
job	5.96
from	5.18
the	4.98
time	5.74
i	5.92
get	5.92
there	5.1
hughes	5.06
and	5.22
of	4.94
course	5.42
you	6.24
didn	4.8
t	4.84
realize	5.84
that	4.94
when	4.96
you	6.24
take	5.18
the	4.98
job	5.96
rathmann	-1
well	6.68
there	5.1
be	5.68
an	4.84
extra	6.52
nice	7.38
twist	5.21
to	4.98
this	5.06
and	5.22
that	4.94
be	5.68
their	5.16
number	5.3
do	5.76
not	3.86
show	6.24
how	4.68
bad	2.64
off	4.02
they	5.62
be	5.68
they	5.62
have	5.82
become	5.7
very	6.12
astute	-1
at	4.9
conceal	-1
their	5.16
problem	2.98
but	4.24
they	5.62
do	5.76
know	6.1
them	4.92
because	5.0
they	5.62
brought	5.9
them	4.92
to	4.98
my	6.16
attention	5.8
the	4.98
first	6.82
week	5.08
i	5.92
be	5.68
there	5.1
by	4.98
the	4.98
way	5.24
you	6.24
learn	6.7
from	5.18
thing	5.58
like	7.22
this	5.06
so	5.08
the	4.98
lesson	5.3
that	4.94
i	5.92
learn	6.7
be	5.68
if	4.66
i	5.92
be	5.68
go	5.54
to	4.98
take	5.18
another	5.2
job	5.96
i	5.92
want	5.7
to	4.98
talk	6.06
to	4.98
the	4.98
top	6.76
man	5.9
in	5.5
that	4.94
organization	5.98
and	5.22
i	5.92
want	5.7
to	4.98
hear	5.84
him	5.54
tell	5.42
me	6.58
how	4.68
solid	5.92
the	4.98
book	7.24
be	5.68
and	5.22
how	4.68
solid	5.92
their	5.16
planning	6.16
be	5.68
and	5.22
so	5.08
on	5.56
hughes	5.06
and	5.22
indeed	6.0
you	6.24
do	5.76
that	4.94
at	4.9
abbott	-1
	-1
rathmann	-1
at	4.9
abbott	-1
the	4.98
chairman	5.3
of	4.94
the	4.98
board	4.76
become	5.7
a	5.24
very	6.12
good	7.2
friend	7.66
later	4.6
on	5.56
we	6.38
put	5.04
him	5.54
on	5.56
the	4.98
board	4.76
of	4.94
amgen	-1
by	4.98
the	4.98
way	5.24
hughes	5.06
what	4.8
be	5.68
his	5.56
name	5.74
rathmann	-1
ted	5.22
ledder	-1
he	5.42
be	5.68
a	5.24
wonderful	7.76
wonderful	7.76
human	6.26
be	5.68
so	5.08
i	5.92
couldn	4.49
t	4.84
miss	3.64
with	5.72
ted	5.22
ledder	-1
but	4.24
it	5.02
be	5.68
an	4.84
interest	6.36
thing	5.58
that	4.94
take	5.18
the	4.98
time	5.74
to	4.98
say	5.54
i	5.92
want	5.7
to	4.98
talk	6.06
to	4.98
him	5.54
about	5.16
this	5.06
company	5.44
abbott	-1
be	5.68
tell	5.42
me	6.58
that	4.94
this	5.06
diagnostic	5.02
thing	5.58
have	5.82
great	7.88
potential	6.68
but	4.24
i	5.92
have	5.82
be	5.68
there	5.1
once	4.94
and	5.22
it	5.02
be	5.68
a	5.24
bad	2.64
bad	2.64
problem	2.98
at	4.9
litton	-1
because	5.0
nothing	3.9
be	5.68
what	4.8
it	5.02
appear	5.84
to	4.98
be	5.68
when	4.96
i	5.92
walk	6.02
in	5.5
the	4.98
door	5.38
they	5.62
have	5.82
profit	7.66
that	4.94
didn	4.8
t	4.84
really	5.84
exist	5.9
they	5.62
be	5.68
artificial	3.9
hughes	5.06
abbott	-1
s	5.04
diagnostic	5.02
unit	5.5
be	5.68
the	4.98
way	5.24
it	5.02
have	5.82
be	5.68
described	5.58
to	4.98
you	6.24
rathmann	-1
oh	4.84
yes	6.74
ted	5.22
ledder	-1
just	5.76
say	5.54
it	5.02
would	5.38
be	5.68
fun	7.96
if	4.66
you	6.24
like	7.22
what	4.8
you	6.24
see	6.06
and	5.22
i	5.92
do	5.76
it	5.02
of	4.94
course	5.42
some	5.02
of	4.94
the	4.98
best	7.18
year	5.38
be	5.68
after	5.08
i	5.92
get	5.92
there	5.1
and	5.22
thing	5.58
really	5.84
popped	4.94
for	5.22
us	6.26
in	5.5
every	5.64
way	5.24
it	5.02
be	5.68
a	5.24
very	6.12
small	4.52
activity	6.32
when	4.96
i	5.92
get	5.92
there	5.1
it	5.02
be	5.68
the	4.98
small	4.52
division	4.36
by	4.98
far	4.38
and	5.22
later	4.6
on	5.56
it	5.02
become	5.7
one	5.4
of	4.94
the	4.98
big	6.22
hughes	5.06
thanks	7.4
partly	5.32
to	4.98
you	6.24
rathmann	-1
oh	4.84
i	5.92
would	5.38
have	5.82
to	4.98
say	5.54
so	5.08
i	5.92
think	6.2
most	6.22
of	4.94
the	4.98
credit	5.86
should	5.24
go	5.54
to	4.98
jim	5.26
vincent	5.46
who	5.06
be	5.68
run	5.48
the	4.98
division	4.36
who	5.06
have	5.82
come	5.82
in	5.5
with	5.72
a	5.24
strong	7.06
hand	5.9
and	5.22
great	7.88
leadership	6.5
but	4.24
he	5.42
wouldn	4.4
t	4.84
have	5.82
make	6.0
it	5.02
without	3.54
other	5.04
people	6.16
hughes	5.06
who	5.06
be	5.68
abbott	-1
s	5.04
main	5.4
competitor	-1
in	5.5
diagnostics	-1
when	4.96
you	6.24
arrive	6.32
rathmann	-1
well	6.68
at	4.9
that	4.94
time	5.74
there	5.1
be	5.68
one	5.4
key	5.82
competitor	-1
who	5.06
we	6.38
thought	6.38
about	5.16
every	5.64
day	6.24
and	5.22
that	4.94
be	5.68
technicon	-1
technicon	-1
have	5.82
the	4.98
smac	-1
machine	5.38
for	5.22
do	5.76
diagnostics	-1
